pot_id,plant_id,species,variety_accession,source,substrate,pot_type_size,life_stage,orga_level,temperature,start_germination,date_1st_germination,start_seedlings,start_flowering,Date_death,biomass_harvest_date,Biomass_g,chamber,Position_quadrant,Remarks
BR028S30,BR028S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.87,32035,2,NA
BR029S30,BR029S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.92000000000000004,32035,5,NA
BR030S30,BR030S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,30,04.04.2025,05.04.2025,08.04.2025,22.04.2025,NA,20.05.2025,0.70999999999999996,32035,2,NA
BRP01S30,BRP011S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,30,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,2.4199999999999999,32035,2,NA
BRP01S30,BRP012S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,30,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,2.6400000000000001,32035,2,NA
BRP01S30,BRP013S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,30,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,0.85999999999999999,32035,2,NA
BRP01S30,BRP014S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,30,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,0.60999999999999999,32035,2,NA
BRP01S30,BRP015S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,30,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,3.9199999999999999,32035,2,NA
BRP01S30,BRP016S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,30,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,1.29,32035,2,NA
BRP01S30,BRP017S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,30,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,0.91000000000000003,32035,2,NA
BRP01S30,BRP018S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,30,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,1.3200000000000001,32035,2,NA
BRP01S30,BRP019S30,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,tray_10_L,seedlings,population,30,07.04.2025,09.04.2025,11.04.2025,22.04.2025,NA,23.05.2025,1.46,32035,2,NA
BR001S34,BR001S34,Brassica rapa,Fast plants,Wisconsin,2_3_Substrat5__1_3_sand,square_11cm,seedlings,individual,34,04.04.2025,05.04.2025,08.04.2025,19.04.2025,NA,20.05.2025,0.78000000000000003,32036,4,NA
